Package,LibPath,Version,Priority,Built
openxlsx,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.1.5,NA,3.6.2
packrat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.1
palmerpenguins,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.2
pander,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6.3,NA,3.6.0
parallel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
pbkrtest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-8.6,NA,3.6.0
phyclust,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-29,NA,3.6.2
pillar,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.6,NA,3.6.2
pixmap,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-11,NA,3.6.0
pkgbuild,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.2
pkgconfig,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
pkgdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.1,NA,3.6.3
pkgload,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.2
plogr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
plot3D,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3,NA,3.6.0
plotly,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.9.2.1,NA,3.6.3
plotrix,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.7-8,NA,3.6.2
plyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8.6,NA,3.6.0
png,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-7,NA,3.6.0
pracma,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.9,NA,3.6.0
praise,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.1,NA,3.6.0
pROC,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.16.2,NA,3.6.0
processx,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.4.5,NA,3.6.2
prodlim,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2019.11.13,NA,3.6.0
progress,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2,NA,3.6.0
promises,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.1,NA,3.6.2
pryr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.4,NA,3.6.0
ps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.2
pscl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.5,NA,3.6.0
psych,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.7,NA,3.6.3
purrr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.4,NA,3.6.2
quadprog,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5-8,NA,3.6.0
quantreg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.61,NA,3.6.2
questionr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.7.3,NA,3.6.2
R.cache,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.14.0,NA,3.6.0
R.matlab,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,NA,3.6.0
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8.1,NA,3.6.2
R.oo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.24.0,NA,3.6.2
R.utils,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.10.1,NA,3.6.2
r2d3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.3,NA,3.6.0
